No.,Name,Net worth,Age,Nationality,Source of wealth
0,1,Jeff Bezos,177 ,57,United States,Amazon
1,2,Elon Musk,151 ,49,United States,"Tesla, SpaceX"
2,3,Bernard Arnault & family,150 ,72,France,LVMH
3,4,Bill Gates,124 ,65,United States,Microsoft
4,5,Mark Zuckerberg,97 ,36,United States,Meta Platforms
5,6,Warren Buffett,96 ,90,United States,Berkshire Hathaway
6,7,Larry Ellison,93 ,76,United States,Oracle Corporation
7,8,Larry Page,91.5 ,48,United States,Alphabet Inc.
8,9,Sergey Brin,89 ,47,United States,Alphabet Inc.
9,10,Mukesh Ambani,84.5 ,63,India,Reliance Industries
