No.,Name,Net worth,Age,Nationality,Source of wealth
0,1,Jeff Bezos,112 ,54,United States,Amazon
1,2,Bill Gates,90 ,62,United States,Microsoft
2,3,Warren Buffett,84 ,87,United States,Berkshire Hathaway
3,4,Bernard Arnault,72 ,69,France,LVMH
4,5,Mark Zuckerberg,71 ,33,United States,"Facebook, Inc."
5,6,Amancio Ortega,70 ,81,Spain,"Inditex, Zara"
6,7,Carlos Slim,67.1 ,78,Mexico,"América Móvil, Grupo Carso"
7,8,Charles Koch,60 ,82,United States,Koch Industries
8,8,David Koch,60 ,77,United States,Koch Industries
9,10,Larry Ellison,58.5 ,73,United States,Oracle Corporation
